iter	Passed	Remaining
169	51001	249008
170	51307	248734
171	51659	248687
172	52014	248647
173	52276	248163
174	52561	247792
175	52835	247366
176	53183	247289
177	53509	247105
178	53794	246734
179	54107	246488
180	54419	246240
181	54728	245975
182	55087	245937
183	55376	245582
184	55714	245446
185	56026	245192
186	56312	244825
187	56629	244590
188	56940	244332
189	57260	244112
190	57529	243671
191	57853	243465
192	58172	243237
193	58449	242837
194	58779	242655
195	59044	242202
196	59395	242106
197	59680	241734
198	59980	241428
199	60268	241073
200	60564	240753
201	60854	240406
202	61188	240231
203	61475	239875
204	61830	239780
205	62104	239372
206	62365	238917
207	62693	238716
208	62966	238309
209	63352	238325
210	63633	237945
211	63963	237750
212	64215	237265
213	64514	236955
214	64855	236797
215	65231	236764
216	65571	236602
217	65903	236407
218	66229	236186
219	66507	235800
220	66873	235722
221	67174	235412
222	67567	235426
223	67896	235212
224	68178	234838
225	68522	234674
226	68867	234513
227	69172	234214
228	69500	233996
229	69784	233625
230	70073	233273
231	70351	232889
232	70665	232620
233	70947	232247
234	71311	232142
235	71596	231778
236	71950	231638
237	72278	231414
238	72590	231134
239	72893	230830
240	73208	230560
241	73508	230245
242	73865	230108
243	74230	229994
244	74534	229687
245	74809	229294
246	75134	229053
247	75472	228851
248	75753	228477
249	76087	228263
250	76418	228036
251	76746	227804
252	77011	227381
253	77362	227215
254	77722	227072
255	78020	226746
256	78364	226556
257	78658	226219
258	78930	225819
259	79215	225458
260	79506	225115
261	79830	224866
262	80117	224510
263	80352	224012
264	80654	223702
265	81002	223518
266	81336	223293
267	81665	223056
268	81973	222760
269	82245	222367
270	82516	221972
271	82800	221614
272	83157	221448
273	83502	221251
274	83737	220761
275	84037	220446
276	84311	220062
277	84636	219810
278	84952	219537
279	85252	219221
280	85615	219066
281	85975	218903
282	86286	218612
283	86630	218407
284	86978	218210
285	87294	217931
286	87616	217668
287	87925	217372
288	88256	217128
289	88559	216818
290	88906	216614
291	89177	216225
292	89553	216088
293	89892	215863
294	90246	215674
295	90610	215506
296	90977	215344
297	91423	215366
298	91738	215079
299	92061	214810
300	92351	214464
301	92645	214127
302	92948	213812
303	93290	213587
304	93660	213423
305	94028	213254
306	94341	212959
307	94680	212722
308	94985	212411
309	95329	212184
310	95615	211830
311	95977	211643
312	96332	211439
313	96674	211206
314	96964	210860
315	97330	210677
316	97659	210413
317	98007	210191
318	98381	210025
319	98747	209839
320	99089	209601
321	99381	209257
322	99720	209012
323	100063	208774
324	100405	208533
325	100723	208244
326	101086	208046
327	101443	207835
328	101745	207510
329	102054	207201
330	102412	206991
331	102771	206781
332	103127	206565
333	103461	206303
334	103827	206105
335	104131	205783
336	104493	205575
337	104850	205357
338	105211	205147
339	105565	204921
340	105870	204600
341	106251	204424
342	106552	204095
343	106917	203888
344	107244	203609
345	107502	203198
346	107865	202986
347	108238	202791
348	108612	202599
349	108942	202321
350	109286	202070
351	109600	201765
352	109932	201490
353	110292	201268
354	110681	201096
355	111068	200922
356	111427	200694
357	111793	200479
358	112074	200111
359	112433	199881
360	112852	199758
361	113151	199420
362	113469	199119
363	113795	198829
364	114164	198614
365	114535	198402
366	114839	198074
367	115186	197820
368	115468	197454
369	115781	197141
370	116113	196860
371	116487	196650
372	116819	196369
373	117155	196094
374	117492	195821
375	117839	195562
376	118169	195277
377	118540	195059
378	118896	194814
379	119259	194581
380	119574	194269
381	119891	193961
382	120189	193621
383	120536	193361
384	120904	193132
385	121247	192865
386	121624	192650
387	121970	192386
388	122307	192107
389	122584	191734
390	122896	191416
391	123174	191046
392	123508	190761
393	123860	190505
394	124202	190233
395	124537	189951
396	124940	189771
397	125315	189547
398	125611	189203
399	125955	188932
400	126296	188658
401	126675	188437
402	127000	188137
403	127294	187791
404	127637	187516
405	127991	187259
406	128345	186999
407	128631	186642
408	129086	186527
409	129457	186293
410	129767	185969
411	130124	185712
412	130477	185448
413	130761	185087
414	131083	184780
415	131397	184461
416	131734	184175
417	132068	183884
418	132412	183608
419	132747	183317
420	133102	183054
421	133432	182757
422	133758	182455
423	134027	182074
424	134393	181826
425	134762	181582
426	135072	181256
427	135439	181007
428	135783	180727
429	136097	180408
430	136465	180159
431	136860	179946
432	137161	179608
433	137530	179360
434	137884	179091
435	138223	178803
436	138563	178514
437	138876	178193
438	139199	177884
439	139499	177544
440	139846	177265
441	140130	176907
442	140474	176623
443	140808	176327
444	141168	176063
445	141506	175773
446	141831	175465
447	142133	175128
448	142521	174898
449	142809	174544
450	143138	174241
451	143473	173945
452	143802	173641
453	144142	173351
454	144463	173038
455	144819	172766
456	145107	172414
457	145444	172120
458	145775	171818
459	146114	171525
460	146453	171232
461	146756	170898
462	147070	170576
463	147421	170297
464	147778	170024
465	148086	169696
466	148417	169392
467	148709	169045
468	149051	168755
469	149343	168408
470	149754	168195
471	150059	167862
472	150438	167612
473	150795	167337
474	151128	167036
475	151484	166760
476	151784	166421
477	152088	166088
478	152477	165847
479	152866	165604
480	153181	165283
481	153459	164921
482	153747	164570
483	154006	164188
484	154352	163900
485	154665	163576
486	155020	163296
487	155331	162970
488	155640	162642
489	155879	162241
490	156241	161969
491	156537	161628
492	156877	161332
493	157206	161025
494	157557	160740
495	157905	160452
496	158269	160180
497	158620	159894
498	159005	159643
499	159353	159353
500	159732	159094
501	160146	158870
502	160505	158590
503	160902	158348
504	161292	158098
505	161569	157737
506	161906	157436
507	162237	157128
508	162589	156839
509	162897	156509
510	163241	156213
511	163555	155888
512	163904	155597
513	164206	155261
514	164560	154974
515	164855	154631
516	165158	154297
517	165512	154009
518	165884	153739
519	166167	153385
520	166486	153065
521	166852	152788
522	167151	152449
523	167458	152118
524	167808	151826
525	168134	151512
526	168433	151174
527	168856	150947
528	169240	150684
529	169634	150430
530	170011	150160
531	170362	149867
532	170672	149538
533	171048	149267
534	171395	148970
535	171777	148702
536	172048	148339
537	172393	148040
538	172755	147755
539	173079	147438
540	173403	147120
541	173722	146799
542	173979	146424
543	174331	146130
544	174665	145821
545	174950	145471
546	175251	145135
547	175575	144818
548	175918	144515
549	176222	144181
550	176575	143888
551	176918	143585
552	177234	143262
553	177599	142977
554	177946	142677
555	178303	142386
556	178681	142111
557	179050	141828
558	179428	141552
559	179748	141230
560	180098	140932
561	180461	140644
562	180806	140342
563	181148	140036
564	181469	139715
565	181834	139427
566	182214	139151
567	182503	138805
568	182869	138517
569	183177	138186
570	183588	137932
571	183941	137634
572	184324	137358
573	184723	137094
574	185093	136808
575	185421	136491
576	185776	136193
