iter	Logloss
0	0.5951632418
1	0.5166429875
2	0.4477897958
3	0.3915759759
4	0.3444996019
5	0.3052506274
6	0.2732139227
7	0.246069377
8	0.221737988
9	0.2027049082
10	0.184689531
11	0.17004146
12	0.1571383041
13	0.1474670968
14	0.1382900371
15	0.1299528685
16	0.1231492054
17	0.1170559797
18	0.1128762865
19	0.108459457
20	0.1043462376
21	0.1017538818
22	0.09887117452
23	0.09620994954
24	0.0939622202
25	0.09207432344
26	0.09024853273
27	0.0886663783
28	0.08734083953
29	0.08642966999
30	0.08524287145
31	0.08434256061
32	0.08356056069
33	0.08272197339
34	0.08211688608
35	0.08145984349
36	0.08102720551
37	0.08057394888
38	0.08010389245
39	0.079706662
40	0.0793425171
41	0.07905511162
42	0.07880830362
43	0.07845346113
44	0.07815801468
45	0.0779445648
46	0.07769357545
47	0.07745840789
48	0.0772346525
49	0.07709836846
50	0.07699041076
51	0.07681051337
52	0.07670645731
53	0.07660389909
54	0.07650610671
55	0.0764125535
56	0.07632402114
57	0.07625869378
58	0.07620875606
59	0.07612270411
60	0.07601240054
61	0.07595749914
62	0.07587508532
63	0.07582518207
64	0.07574609007
65	0.07571289318
66	0.07565788054
67	0.07558326054
68	0.07552146378
69	0.07543504853
70	0.07539320381
71	0.0753225547
72	0.075253444
73	0.07518760042
74	0.07511428514
75	0.0750583318
76	0.07501174825
77	0.07496875872
78	0.07492305529
79	0.07487775347
80	0.07484359464
81	0.07481236595
82	0.07478207728
83	0.07476564463
84	0.07472642784
85	0.07469157034
86	0.07466463308
87	0.07464541144
88	0.07462712185
89	0.07458998563
90	0.07455563199
91	0.07453753978
92	0.07452333624
93	0.07450162675
94	0.07447328957
95	0.07445858281
96	0.07443512521
97	0.07442060652
98	0.07437635405
99	0.07436279213
100	0.0743339611
101	0.07430295461
102	0.07427418974
103	0.07424418284
104	0.07422989129
105	0.07422030428
106	0.0742085433
107	0.07414047603
108	0.07413138516
109	0.07409359403
110	0.07407269516
111	0.07399763429
112	0.07397125359
113	0.0739640783
114	0.0739111904
115	0.0738704712
116	0.07383882749
117	0.07381403953
118	0.07378078702
119	0.07376191665
120	0.07375069653
121	0.0737150393
122	0.07370618398
123	0.07367440292
124	0.07366524317
125	0.07365367773
126	0.07364360021
127	0.07362958272
128	0.07357896386
129	0.07352848375
130	0.07351226256
131	0.07350445487
132	0.07347911782
133	0.07347143536
134	0.07345938156
135	0.07344374947
136	0.07342794227
137	0.07340553428
138	0.07337013511
139	0.07334442901
140	0.07331750162
141	0.07330315309
142	0.07329722072
143	0.07328470002
144	0.0732797019
145	0.07325809992
146	0.0732493148
147	0.07324083196
148	0.0731937764
149	0.0731845298
150	0.07317076234
151	0.07316472671
152	0.07316070245
153	0.07311560212
154	0.07310672749
155	0.07309413588
156	0.07306315313
157	0.07304045831
158	0.07302069748
159	0.07301502471
160	0.07301037054
161	0.07299927185
